PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
6.0,6.0,27.7,79.0,98.8,28.39,9.618525
7.0,7.0,27.7,79.0,99.4,28.54,9.401039
5.0,5.0,27.7,78.0,97.9,28.65,9.227254
6.0,6.0,27.7,79.0,97.4,28.66,9.03024
6.0,6.0,27.8,79.0,98.4,28.65,8.844701
6.0,6.0,27.8,79.0,98.7,28.63,8.746242
5.0,5.0,27.9,78.0,99.7,28.64,8.687882
4.0,4.0,28.0,77.0,99.9,28.7,8.60286
4.0,4.0,28.1,75.0,98.2,28.57,8.552408
2.0,2.0,28.1,74.0,98.7,28.62,8.354522
4.0,4.0,28.2,74.0,97.5,28.59,8.153164
3.0,3.0,28.2,74.0,96.1,28.62,8.076205
4.0,4.0,28.3,75.0,96.8,28.72,8.124869
5.0,5.0,28.3,75.0,96.8,28.96,8.108317
4.0,4.0,28.3,73.0,95.4,29.13,8.058988
4.0,4.0,28.4,74.0,96.1,29.53,7.975496
2.0,2.0,28.4,73.0,93.8,29.74,7.840611
3.0,3.0,28.4,72.0,92.8,29.84,7.741453
3.0,3.0,28.5,73.0,93.7,29.77,7.755497
3.0,3.0,28.5,73.0,94.9,29.6,7.833683
4.0,4.0,28.6,73.0,94.9,29.49,7.911407
3.0,3.0,28.8,73.0,96.1,29.27,8.245573
2.0,2.0,28.9,72.0,97.1,29.3,8.457909
3.0,3.0,29.1,73.0,96.0,29.38,8.668221
5.0,5.0,29.2,72.0,95.9,29.35,8.801753
4.0,4.0,29.3,71.0,96.1,29.39,9.030639
4.0,4.0,29.4,72.0,95.9,29.33,9.275149
5.0,5.0,29.6,71.0,98.2,29.48,9.450345
6.0,6.0,29.6,71.0,96.2,29.57,9.487926
5.0,5.0,29.7,72.0,95.4,29.42,9.463918
3.0,3.0,29.8,71.0,94.5,29.22,9.477322
5.0,5.0,29.8,71.0,95.2,29.15,9.496205
4.0,4.0,29.9,70.0,95.3,29.19,9.549963
3.0,3.0,29.9,71.0,95.9,29.17,9.678777
4.0,4.0,29.9,71.0,94.6,29.12,9.746255
3.0,3.0,30.0,70.0,94.2,29.05,9.831768
3.0,3.0,30.0,69.0,94.5,29.14,9.967565
4.0,4.0,29.9,69.0,94.6,29.23,10.00297
5.0,5.0,29.9,70.0,94.7,29.21,9.970723
6.0,6.0,29.8,70.0,94.3,29.12,9.961745
4.0,4.0,29.7,70.0,95.1,29.18,9.972562
5.0,5.0,29.5,69.0,94.6,29.24,9.925467
4.0,4.0,29.4,70.0,95.0,29.23,9.873773
5.0,5.0,29.4,70.0,95.7,29.26,9.772168
5.0,5.0,29.3,70.0,94.6,29.26,9.579371
4.0,4.0,29.2,70.0,94.2,29.22,9.49495
4.0,4.0,29.1,71.0,95.6,29.23,9.498239
4.0,4.0,29.1,72.0,96.3,29.25,9.345872
4.0,4.0,29.0,72.0,94.8,29.17,9.222451
4.0,4.0,28.9,72.0,95.4,29.2,9.191634
4.0,4.0,28.8,72.0,95.3,29.22,9.148015
5.0,6.0,28.8,72.0,95.7,29.26,9.191601
4.0,4.0,28.7,72.0,95.5,29.27,9.417163
5.0,5.0,28.7,73.0,95.0,29.22,9.805022
4.0,4.0,28.6,73.0,95.2,29.22,10.2132
4.0,4.0,28.6,72.0,94.5,29.12,10.35445
4.0,4.0,28.6,73.0,95.3,29.02,10.4131
6.0,6.0,28.5,74.0,96.2,28.97,10.51006
6.0,6.0,28.5,73.0,96.8,28.91,10.64053
5.0,5.0,28.6,73.0,96.9,28.81,10.96784
6.0,7.0,28.5,73.0,97.3,28.69,11.22591
6.0,6.0,28.5,73.0,97.9,28.58,11.47789
6.0,6.0,28.55,72.0,98.4,28.53,11.67295
6.5,7.0,28.45,73.0,99.5,28.54,11.75784
6.0,6.0,28.3,74.0,99.4,28.48,11.68719
7.0,8.0,28.2,74.0,99.5,28.38,11.92611
6.5,6.5,28.05,75.5,99.9,28.36,12.04346
7.0,7.0,27.8,77.0,99.5,28.28,12.14574
7.0,7.0,26.5,81.0,100.0,28.36,12.1316
6.0,6.0,26.5,82.0,100.0,28.4,11.76322
7.0,7.0,26.5,82.0,99.6,28.54,10.93111
5.0,5.0,26.5,81.0,99.4,28.57,10.75812
7.0,7.0,26.6,81.0,99.3,28.59,10.54805
6.0,6.0,26.6,81.0,99.4,28.62,10.50897
7.0,7.0,26.6,82.0,99.3,28.66,10.53281
7.0,7.0,26.7,81.0,98.7,28.65,10.61715
6.0,6.0,26.7,81.0,98.6,28.66,10.61758
5.0,5.0,26.7,81.0,98.8,28.69,10.58831
5.0,5.0,26.8,81.0,97.9,28.68,10.61248
6.0,6.0,26.8,81.0,98.4,28.73,10.59475
6.0,6.0,26.9,81.0,97.8,28.8,10.52129
6.0,6.0,27.0,81.0,96.9,28.82,10.43658
6.0,7.0,27.0,80.0,96.2,28.82,10.39209
5.0,5.0,27.1,80.0,95.4,28.75,10.23143
6.0,6.0,27.2,79.0,96.2,28.79,9.999448
6.0,6.0,27.2,79.0,95.7,28.83,9.734393
5.0,5.0,27.2,79.0,95.4,28.81,9.401312
5.0,5.0,27.2,79.0,95.4,28.83,9.192202
4.0,4.0,27.3,78.0,95.6,28.94,9.059873
3.0,3.0,27.4,78.0,95.1,28.98,8.863889
3.0,3.0,27.4,78.0,95.5,29.06,8.687734
4.0,4.0,27.4,78.0,95.8,29.15,8.535771
4.0,4.0,27.5,77.0,95.8,29.34,8.395688
4.0,4.0,27.5,77.0,94.2,29.39,8.261101
4.0,4.0,27.5,78.0,95.0,29.46,8.147209
4.0,4.0,27.6,77.0,93.9,29.55,7.978488
5.0,5.0,27.7,77.0,92.7,29.43,7.885333
5.0,5.0,27.7,77.0,93.4,29.32,7.859394
4.0,4.0,27.8,78.0,94.4,29.4,7.875463
4.0,4.0,27.9,76.0,94.7,29.61,7.867624
3.0,3.0,28.1,77.0,94.8,29.79,7.782876
4.0,4.0,28.2,76.0,94.2,29.97,7.682076
2.5,2.5,28.35,73.0,93.0,29.89,7.626013
3.0,3.0,28.4,74.0,93.3,29.79,7.581306
3.0,3.0,28.5,75.0,93.7,29.81,7.583257
2.0,2.0,28.6,75.0,92.9,29.79,7.61437
4.0,4.0,28.7,75.0,93.5,29.72,7.645132
4.0,4.0,28.8,73.0,93.9,29.72,7.630701
4.0,4.0,28.9,73.0,93.5,29.62,7.703474
4.0,4.0,29.0,73.0,94.3,29.48,7.682008
3.0,3.0,29.0,73.0,94.8,29.49,7.704088
3.0,3.0,29.1,72.0,94.2,29.48,7.819925
3.5,3.5,29.2,72.0,94.7,29.33,7.843096
3.0,3.0,29.2,71.0,95.4,29.27,7.848667
3.0,3.0,29.2,72.0,95.0,29.22,7.909847
4.0,4.0,29.2,72.0,95.7,29.26,7.99186
3.0,3.0,29.2,72.0,96.3,29.34,8.174624
3.0,3.0,29.1,72.0,95.8,29.44,8.275187
3.0,3.0,29.0,72.0,96.0,29.4,8.334482
5.0,5.0,29.0,72.0,95.3,29.43,8.323088
3.0,3.0,29.0,72.0,95.0,29.48,8.461863
4.0,4.0,28.9,73.0,94.8,29.47,8.444862
4.0,4.0,28.9,74.0,93.8,29.43,8.469869
4.0,4.0,28.9,74.0,93.5,29.48,8.444012
3.0,3.0,28.8,73.0,92.8,29.54,8.387431
3.0,3.0,28.8,73.0,93.0,29.54,8.355518
5.0,5.0,28.8,74.0,92.6,29.61,8.353312
4.0,4.0,28.8,73.0,92.4,29.54,8.261121
4.0,4.0,28.8,73.0,92.9,29.55,8.175426
3.0,3.0,28.7,72.0,92.6,29.69,8.138595
3.0,3.0,28.7,72.0,92.8,29.73,8.197715
4.0,5.0,28.7,72.0,92.6,29.68,8.330483
3.0,3.0,28.6,73.0,92.5,29.58,8.302855
4.0,4.0,28.7,73.0,93.4,29.58,8.39627
4.0,4.0,28.6,72.0,93.6,29.54,8.405138
4.0,4.0,28.6,73.0,93.4,29.43,8.482965
4.0,4.0,28.5,73.0,94.5,29.5,8.737324
4.0,4.0,28.6,74.0,93.2,29.57,8.887609
