PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
9.0,10.0,27.0,95.0,98.8,28.39,9.618525
8.0,9.0,26.7,89.0,99.4,28.54,9.401039
8.0,9.0,26.8,92.0,97.9,28.65,9.227254
6.0,6.0,27.1,95.0,97.4,28.66,9.03024
8.0,9.0,27.3,94.0,98.4,28.65,8.844701
8.0,9.0,27.4,91.0,98.7,28.63,8.746242
5.0,5.0,27.4,90.0,99.7,28.64,8.687882
6.0,6.0,27.7,93.0,99.9,28.7,8.60286
5.0,5.0,28.0,93.0,98.2,28.57,8.552408
6.0,6.0,28.1,92.0,98.7,28.62,8.354522
4.0,4.0,28.1,92.0,97.5,28.59,8.153164
7.0,7.0,28.1,91.0,96.1,28.62,8.076205
5.0,5.0,28.3,91.0,96.8,28.72,8.124869
8.0,9.0,28.3,91.0,96.8,28.96,8.108317
6.0,6.0,28.5,90.0,95.4,29.13,8.058988
6.0,6.0,28.4,87.0,96.1,29.53,7.975496
5.0,5.0,28.5,90.0,93.8,29.74,7.840611
4.0,4.0,28.7,89.0,92.8,29.84,7.741453
5.0,5.0,28.9,88.0,93.7,29.77,7.755497
5.0,5.0,29.2,88.0,94.9,29.6,7.833683
5.0,5.0,29.5,88.0,94.9,29.49,7.911407
4.0,4.0,29.8,88.0,95.9,29.42,8.05815
5.0,5.0,30.2,88.0,96.1,29.27,8.245573
6.0,6.0,30.5,87.0,97.1,29.3,8.457909
6.5,6.5,30.25,79.0,95.9,29.35,8.801753
5.5,5.5,30.3,86.5,95.9,29.33,9.275149
7.0,7.0,29.6,80.0,96.2,29.57,9.487926
8.0,9.0,29.7,85.0,95.4,29.42,9.463918
7.0,7.0,30.2,85.0,94.5,29.22,9.477322
7.0,7.0,29.8,80.0,95.2,29.15,9.496205
6.0,6.0,29.9,85.0,95.3,29.19,9.549963
6.0,6.0,29.9,87.0,95.9,29.17,9.678777
8.0,9.0,29.9,86.0,94.6,29.12,9.746255
7.0,7.0,30.0,87.0,94.2,29.05,9.831768
6.0,6.0,30.0,87.0,94.5,29.14,9.967565
6.0,6.0,29.9,85.0,94.6,29.23,10.00297
7.0,7.0,29.8,85.0,94.7,29.21,9.970723
7.0,7.0,29.4,80.0,94.3,29.12,9.961745
7.0,7.0,29.3,86.0,95.1,29.18,9.972562
7.0,7.0,29.2,84.0,94.6,29.24,9.925467
8.0,9.0,29.3,85.0,95.0,29.23,9.873773
6.0,6.0,29.2,86.0,95.7,29.26,9.772168
7.0,7.0,29.2,83.0,94.6,29.26,9.579371
5.0,5.0,28.9,86.0,94.2,29.22,9.49495
5.0,5.0,29.0,87.0,95.6,29.23,9.498239
6.0,6.0,29.1,86.0,96.3,29.25,9.345872
7.0,7.0,29.2,86.0,94.8,29.17,9.222451
6.0,6.0,29.2,86.0,95.4,29.2,9.191634
5.0,5.0,29.2,86.0,95.3,29.22,9.148015
6.0,6.0,29.2,86.0,95.7,29.26,9.191601
7.0,7.0,29.2,86.0,95.5,29.27,9.417163
7.0,7.0,29.2,86.0,95.0,29.22,9.805022
6.0,6.0,29.2,85.0,95.2,29.22,10.2132
7.0,8.0,29.1,86.0,94.5,29.12,10.35445
6.0,6.0,29.1,86.0,95.3,29.02,10.4131
7.0,7.0,29.2,86.0,96.2,28.97,10.51006
7.0,7.0,29.2,85.0,96.8,28.91,10.64053
7.0,7.0,29.0,82.0,96.9,28.81,10.96784
8.0,9.0,28.9,84.0,97.3,28.69,11.22591
8.0,9.0,28.9,85.0,97.9,28.58,11.47789
8.0,9.0,28.6,83.0,98.4,28.53,11.67295
9.0,10.0,28.4,85.0,99.2,28.49,11.83622
9.0,10.0,28.2,86.0,99.5,28.54,11.75784
10.0,11.0,28.2,86.0,99.4,28.48,11.68719
10.0,11.0,28.0,86.0,99.8,28.45,11.74529
10.0,11.0,27.7,86.0,99.5,28.38,11.92611
10.0,11.0,27.5,86.0,99.9,28.36,12.04346
8.0,9.0,27.3,87.0,99.5,28.28,12.14574
9.0,10.0,27.2,88.0,99.8,28.25,12.14745
11.0,12.0,25.9,89.0,100.0,28.36,12.1316
9.0,10.0,26.1,90.0,100.0,28.4,11.76322
7.0,7.0,26.1,89.0,99.6,28.54,10.93111
8.0,9.0,26.2,90.0,99.4,28.57,10.75812
8.0,9.0,26.1,89.0,99.3,28.59,10.54805
9.0,10.0,26.2,90.0,99.4,28.62,10.50897
9.0,10.0,26.4,90.0,99.3,28.66,10.53281
9.0,10.0,26.4,89.0,98.7,28.65,10.61715
9.0,10.0,26.4,89.0,98.6,28.66,10.61758
8.0,9.0,26.5,89.0,98.8,28.69,10.58831
8.0,9.0,26.6,88.0,97.9,28.68,10.61248
9.0,10.0,26.7,89.0,98.4,28.73,10.59475
9.0,10.0,26.8,89.0,97.8,28.8,10.52129
7.0,7.0,26.9,89.0,96.9,28.82,10.43658
7.0,7.0,26.9,88.0,96.2,28.82,10.39209
8.0,9.0,26.8,88.0,95.4,28.75,10.23143
7.0,8.0,26.9,89.0,96.2,28.79,9.999448
7.0,7.0,26.9,87.0,95.7,28.83,9.734393
6.0,6.0,27.0,88.0,95.4,28.81,9.401312
6.0,6.0,27.0,88.0,95.4,28.83,9.192202
6.0,6.0,27.0,87.0,95.6,28.94,9.059873
6.0,6.0,27.2,87.0,95.5,29.06,8.687734
5.0,5.0,27.2,86.0,95.8,29.34,8.395688
6.0,6.0,27.2,86.0,94.2,29.39,8.261101
6.0,6.0,27.4,87.0,95.0,29.46,8.147209
5.0,5.0,27.5,87.0,93.9,29.55,7.978488
7.0,7.0,27.9,87.0,94.4,29.4,7.875463
5.0,5.0,28.1,85.0,94.7,29.61,7.867624
4.0,4.0,28.2,85.0,94.8,29.79,7.782876
3.0,3.0,28.1,83.0,93.3,29.79,7.581306
4.0,4.0,28.5,86.0,93.7,29.81,7.583257
4.0,4.0,28.7,86.0,92.9,29.79,7.61437
5.0,5.0,29.0,86.0,93.5,29.72,7.645132
5.0,5.0,29.2,85.0,93.9,29.72,7.630701
7.0,7.0,29.4,86.0,93.5,29.62,7.703474
5.0,5.0,29.5,85.0,94.3,29.48,7.682008
5.0,5.0,29.4,84.0,94.8,29.49,7.704088
6.0,6.0,29.7,85.0,94.2,29.48,7.819925
5.0,5.0,29.9,84.0,94.8,29.39,7.782424
4.0,4.0,29.8,83.0,94.7,29.33,7.843096
6.0,6.0,29.8,83.0,95.4,29.27,7.848667
6.0,6.0,29.7,82.0,95.0,29.22,7.909847
4.0,4.0,29.8,83.0,95.7,29.26,7.99186
4.0,4.0,29.6,78.0,96.3,29.34,8.174624
5.0,5.0,29.6,84.0,95.8,29.44,8.275187
5.0,6.0,29.7,82.0,96.0,29.4,8.334482
5.0,5.0,29.7,84.0,95.3,29.43,8.323088
5.0,5.0,29.6,84.0,95.0,29.48,8.461863
6.0,6.0,29.7,83.0,94.8,29.47,8.444862
6.0,6.0,29.5,81.0,93.8,29.43,8.469869
5.0,5.0,29.7,84.0,93.5,29.48,8.444012
5.0,5.0,29.7,82.0,92.8,29.54,8.387431
5.0,5.0,29.6,84.0,93.0,29.54,8.355518
5.0,5.0,29.7,84.0,92.6,29.61,8.353312
5.0,5.0,29.7,83.0,92.4,29.54,8.261121
4.0,4.0,29.7,82.0,92.9,29.55,8.175426
4.0,6.0,29.8,83.0,92.6,29.69,8.138595
5.0,5.0,29.8,83.0,92.8,29.73,8.197715
4.0,4.0,29.9,83.0,92.6,29.68,8.330483
5.0,5.0,29.9,82.0,92.5,29.58,8.302855
5.0,5.0,30.0,82.0,93.4,29.58,8.39627
6.0,6.0,30.0,82.0,93.6,29.54,8.405138
4.0,4.0,29.9,81.0,93.4,29.43,8.482965
6.0,6.0,30.0,82.0,94.5,29.5,8.737324
7.0,7.0,30.0,81.0,93.2,29.57,8.887609
6.0,6.0,30.0,82.0,93.1,29.64,8.979556
6.0,6.0,30.0,82.0,93.3,29.75,9.032637
5.0,5.0,30.0,82.0,92.8,29.77,9.058143
6.0,6.0,29.9,79.0,93.1,29.73,9.011935
7.0,7.0,29.6,81.0,93.0,29.71,8.850944
5.0,5.0,29.7,82.0,93.1,29.74,8.785777
6.0,6.0,29.8,82.0,92.9,29.77,8.728641
6.0,6.0,30.0,82.0,92.8,29.62,8.713622
6.0,6.0,30.0,82.0,93.0,29.58,8.675181
6.0,6.0,30.2,81.0,93.1,29.52,8.574445
5.0,5.0,30.1,80.0,93.2,29.53,8.460773
5.0,5.0,30.1,80.0,93.6,29.51,8.394122
6.0,6.0,30.2,81.0,93.6,29.46,8.320931
4.0,4.0,30.1,80.0,94.1,29.5,8.273866
5.0,5.0,29.9,79.0,92.9,29.58,8.306227
5.0,5.0,29.9,80.0,92.1,29.63,8.363558
6.0,6.0,29.9,81.0,93.0,29.69,8.346267
4.0,4.0,30.0,81.0,92.5,29.78,8.334646
4.0,4.0,29.9,80.0,92.2,29.87,8.342299
5.0,5.0,29.8,81.0,91.2,29.89,8.352637
5.0,5.0,29.9,81.0,91.6,29.86,8.241666
6.0,6.0,30.0,81.0,91.6,29.96,8.19173
5.0,5.0,30.1,80.0,91.5,29.98,8.101182
5.0,5.0,30.3,80.0,91.5,30.11,8.06184
7.0,8.0,30.4,81.0,91.0,30.15,8.036991
5.0,5.0,30.4,78.0,91.1,30.09,8.067613
5.0,5.0,30.2,78.0,91.4,30.0,8.037074
5.0,5.0,30.3,81.0,91.9,29.92,8.047801
5.0,5.0,30.5,79.0,92.3,29.96,8.121054
4.0,4.0,30.6,80.0,92.8,30.0,8.164429
7.0,7.0,30.8,79.0,93.1,30.03,8.303857
7.0,7.0,30.9,79.0,92.2,30.03,8.44242
5.0,5.0,30.7,77.0,91.4,30.05,8.49771
5.0,5.0,30.5,79.0,90.5,30.1,8.566309
6.0,6.0,30.7,80.0,91.6,30.2,8.623877
6.0,6.0,30.8,80.0,91.1,30.28,8.648297
5.0,5.0,30.9,80.0,90.0,30.22,8.603221
6.0,6.0,30.7,77.0,90.6,30.19,8.589346
6.0,6.0,30.8,80.0,90.0,30.11,8.528117
5.0,5.0,30.9,79.0,91.3,30.09,8.424214
6.0,6.0,31.2,78.0,91.4,30.15,8.317192
5.0,5.0,31.2,78.0,91.1,30.2,8.154552
4.0,4.0,30.9,78.0,90.4,30.21,8.047025
5.0,5.0,31.1,79.0,89.2,30.27,7.989028
5.0,5.0,31.2,78.0,88.1,30.24,7.835358
4.0,4.0,31.2,77.0,88.8,30.23,7.715137
4.0,4.0,31.1,77.0,88.2,30.34,7.607885
4.0,4.0,31.2,78.0,87.6,30.41,7.548012
6.0,6.0,31.2,77.0,88.5,30.54,7.578935
4.0,4.0,31.4,78.0,87.9,30.54,7.677954
4.0,4.0,31.6,77.0,88.7,30.31,7.787054
4.0,4.0,31.7,76.0,89.1,30.17,7.844883
4.0,4.0,32.0,76.0,89.6,30.12,7.999825
3.0,3.0,32.1,74.0,89.1,30.26,8.083375
5.0,5.0,32.4,74.0,89.2,30.4,8.214244
5.0,5.0,32.3,75.0,88.9,30.52,8.342429
6.0,6.0,32.1,73.0,88.4,30.47,8.500878
7.0,7.0,32.1,75.0,88.8,30.44,8.705173
5.0,5.0,31.9,75.0,88.5,30.48,8.747964
6.0,6.0,32.1,75.0,88.2,30.49,8.778498
7.0,7.0,32.3,74.0,88.3,30.26,8.763377
7.0,7.0,32.4,72.0,89.1,30.18,8.68382
6.0,6.0,32.5,74.0,89.4,30.2,8.612226
5.0,6.0,32.0,75.0,90.2,30.3,8.482118
6.0,6.0,32.1,75.0,90.1,30.56,8.405215
6.0,6.0,32.4,72.0,88.9,30.66,8.255032
5.0,5.0,31.9,71.0,87.3,30.68,8.193479
5.0,5.0,31.6,75.0,86.3,30.43,8.038245
6.0,6.0,31.5,76.0,88.3,30.35,7.83847
6.0,6.0,31.6,75.0,88.1,30.6,7.676722
5.0,5.0,31.7,75.0,85.6,30.64,7.58965
4.0,4.0,31.8,75.0,85.8,30.65,7.584352
4.0,4.0,31.8,75.0,85.5,30.67,7.514706
3.0,3.0,31.7,74.0,85.5,30.81,7.465438
4.0,4.0,31.6,75.0,86.6,31.02,7.483173
4.0,4.0,32.0,74.0,85.2,31.15,7.507994
5.0,5.0,32.1,73.0,84.3,31.02,7.572999
5.0,5.0,32.4,73.0,86.3,30.91,7.591459
3.0,3.0,32.6,71.0,84.8,31.05,7.573517
4.0,4.0,32.8,72.0,85.7,31.31,7.638204
5.0,5.0,33.1,71.0,84.8,31.12,7.677538
4.0,4.0,32.9,73.0,84.7,30.77,7.648775
4.0,4.0,32.9,73.0,85.9,30.47,7.628803
4.0,4.0,32.8,72.0,86.6,30.38,7.703257
5.0,5.0,33.1,72.0,88.1,30.64,7.760691
3.0,3.0,33.4,71.0,85.9,30.52,7.783066
4.0,4.0,33.0,72.0,87.8,30.41,7.77236
4.0,4.0,32.5,71.0,88.2,30.65,7.779814
5.0,5.0,32.4,72.0,87.6,30.92,7.727545
5.0,5.0,32.4,72.0,85.3,31.08,7.712329
4.0,4.0,32.5,69.0,85.0,31.1,7.675739
4.0,4.0,31.9,72.0,84.4,30.95,7.665025
5.0,5.0,31.7,73.0,85.8,30.87,7.666758
5.0,5.0,32.0,74.0,85.6,30.87,7.592295
5.0,5.0,32.4,73.0,85.5,31.03,7.367384
4.0,4.0,32.6,72.0,85.4,30.99,7.234463
4.0,4.0,32.8,72.0,85.9,30.98,7.093817
4.0,4.0,32.8,72.0,86.3,30.77,6.942622
3.0,3.0,32.8,72.0,87.1,30.58,6.830444
3.0,3.0,33.2,71.0,88.1,30.48,6.741268
4.0,4.0,33.4,70.0,88.5,30.57,6.717287
3.0,3.0,33.5,70.0,87.3,30.62,6.689377
4.0,4.0,33.3,70.0,86.9,30.46,6.642272
2.0,2.0,32.8,70.0,87.6,30.26,6.654696
4.0,4.0,32.1,70.0,88.6,30.16,6.741969
4.0,4.0,31.9,73.0,88.3,30.2,6.843992
2.0,2.0,31.8,74.0,88.3,30.26,6.924894
4.0,4.0,31.9,73.0,88.4,30.52,6.974382
4.0,4.0,32.0,73.0,86.8,30.62,6.967355
3.0,3.0,32.1,72.0,86.2,30.6,6.894005
5.0,5.0,32.0,73.0,86.5,30.52,6.883173
3.0,3.0,32.0,72.0,87.8,30.73,6.872056
4.0,4.0,32.1,72.0,87.9,31.02,6.871975
3.0,3.0,32.1,73.0,86.8,31.27,6.931707
3.0,3.0,32.0,72.0,85.3,31.05,6.973608
3.0,3.0,31.9,73.0,85.4,30.79,6.894994
3.0,3.0,32.0,73.0,86.8,30.59,6.928719
4.0,4.0,32.5,72.0,87.7,30.42,6.939648
4.0,4.0,32.8,72.0,87.9,30.2,7.080463
3.0,3.0,32.9,71.0,88.7,30.13,7.18499
3.5,3.5,32.45,72.0,89.1,30.25,7.417685
4.0,4.0,32.3,71.0,89.5,30.24,7.639603
5.0,5.0,32.1,72.0,90.3,30.18,7.658546
5.0,5.0,31.9,73.0,89.3,30.08,7.610932
6.0,6.0,31.9,73.0,90.4,29.95,7.519737
4.0,4.0,31.5,73.0,91.1,29.88,7.475438
5.0,5.0,31.5,73.0,91.4,29.87,7.418876
5.0,5.0,31.5,74.0,91.7,29.95,7.380402
3.0,3.0,31.2,74.0,90.4,30.13,7.317581
3.0,3.0,31.1,74.0,88.7,30.22,7.243289
4.0,4.0,30.8,75.0,88.5,30.12,7.224537
5.0,5.0,30.8,75.0,88.8,30.11,7.156756
4.0,4.0,30.8,75.0,89.2,29.88,7.04166
5.0,5.0,30.9,75.0,90.5,29.71,7.073725
6.0,6.0,31.2,74.0,90.1,29.64,7.194334
5.0,5.0,31.2,74.0,90.5,29.52,7.207082
4.0,4.0,31.2,74.0,91.0,29.67,7.150295
4.0,4.0,31.2,73.0,91.1,29.84,7.035961
5.0,5.0,31.2,73.0,89.8,29.84,6.973652
3.0,3.0,31.0,74.0,90.5,29.81,6.930786
3.0,3.0,30.9,73.0,90.2,29.85,6.946876
3.0,3.0,30.8,74.0,91.2,30.0,6.988371
4.0,4.0,30.7,74.0,89.1,29.96,7.051656
5.0,5.0,30.7,74.0,89.7,29.95,7.071592
3.0,3.0,30.6,74.0,90.8,30.05,7.101881
4.0,4.0,30.7,75.0,90.0,30.21,7.192271
5.0,5.0,30.7,74.0,89.5,30.43,7.387016
4.0,4.0,30.7,74.0,89.8,30.55,7.46973
5.0,5.0,30.8,75.0,88.6,30.67,7.656728
5.0,5.0,30.7,74.0,88.7,30.65,7.731264
6.0,6.0,30.7,75.0,87.7,30.58,7.730944
3.0,3.0,30.7,75.0,88.7,30.4,7.772667
4.0,4.0,30.9,75.0,88.5,30.22,7.693329
5.0,5.0,31.1,75.0,89.8,30.03,7.629156
5.0,5.0,31.1,74.0,88.9,30.0,7.569498
6.0,6.0,31.2,74.0,88.2,29.97,7.379753
5.0,5.0,31.4,74.0,88.7,30.0,7.23696
5.0,5.0,31.5,74.0,89.5,30.08,7.078948
3.0,3.0,31.3,72.0,89.4,30.2,7.029972
5.0,5.0,31.2,73.0,89.0,30.21,6.856941
4.0,4.0,31.2,73.0,88.3,30.23,6.788165
3.0,3.0,31.2,72.0,88.4,30.09,6.769315
4.0,4.0,31.3,73.0,89.0,29.97,6.753094
3.0,3.0,31.4,73.0,88.5,30.03,6.77854
4.0,4.0,31.4,73.0,88.5,30.1,6.737417
4.0,5.0,31.3,73.0,88.4,30.02,6.716233
4.0,4.0,31.3,73.0,89.0,29.98,6.77887
3.0,3.0,31.5,73.0,88.4,30.07,6.841972
4.0,4.0,31.3,72.0,88.0,30.12,6.75231
3.0,3.0,31.5,72.0,88.3,30.2,6.73114
4.0,4.0,31.7,72.0,88.5,30.44,6.735415
4.0,4.0,31.5,72.0,86.7,30.5,6.703093
4.0,4.0,31.4,71.0,86.9,30.41,6.67481
4.0,4.0,31.3,72.0,86.2,30.36,6.597076
3.0,3.0,31.3,71.0,87.1,30.36,6.569265
4.0,4.0,31.4,73.0,86.3,30.4,6.5577
3.0,3.0,31.6,72.0,86.1,30.25,6.544921
4.0,4.0,31.6,72.0,88.1,29.99,6.566366
4.0,4.0,31.5,72.0,89.1,29.82,6.552001
4.0,4.0,31.6,72.0,89.5,29.8,6.576608
4.0,4.0,31.8,72.0,89.4,29.86,6.625655
5.0,5.0,31.9,71.0,89.4,29.98,6.647652
4.0,4.0,31.6,71.0,89.4,30.02,6.626303
3.0,3.0,31.2,72.0,88.3,30.13,6.625914
3.0,3.0,30.9,73.0,88.4,30.06,6.583817
4.0,4.0,30.9,73.0,88.3,30.08,6.606257
3.0,3.0,30.8,73.0,88.5,30.01,6.52908
4.0,4.0,30.9,73.0,88.2,29.97,6.455975
3.0,3.0,30.7,73.0,88.1,29.99,6.460851
3.0,3.0,30.7,74.0,89.2,30.01,6.460526
3.0,3.0,30.8,74.0,88.3,30.07,6.422407
3.0,3.0,30.9,73.0,88.1,30.23,6.376964
4.0,4.0,30.9,73.0,86.7,30.29,6.2943
4.0,4.0,30.7,73.0,86.8,30.21,6.284174
3.0,3.0,30.9,73.0,87.2,30.06,6.285406
4.0,4.0,31.0,73.0,87.7,30.02,6.279962
4.0,4.0,30.9,72.0,88.0,29.97,6.261509
3.0,3.0,31.0,73.0,88.4,29.99,6.275118
2.0,2.0,31.0,73.0,87.8,29.98,6.276306
3.0,3.0,30.8,72.0,89.0,29.95,6.218456
3.0,3.0,30.5,74.0,89.1,30.02,6.184701
3.0,3.0,30.5,73.0,88.5,30.01,6.245476
2.0,2.0,30.3,74.0,88.8,29.95,6.326937
3.0,3.0,30.4,74.0,89.2,29.84,6.41856
4.0,4.0,30.5,74.0,88.9,29.76,6.473651
4.0,4.0,30.6,73.0,89.2,29.77,6.469126
4.0,4.0,30.5,73.0,88.9,29.7,6.532629
3.0,3.0,30.3,74.0,90.1,29.67,6.548347
3.0,3.0,30.3,74.0,89.7,29.64,6.612808
4.0,4.0,30.4,74.0,90.2,29.57,6.734877
5.0,5.0,30.3,73.0,90.5,29.5,6.861315
4.0,4.0,30.1,75.0,90.8,29.5,6.872709
4.0,4.0,29.9,75.0,90.9,29.6,6.904993
4.0,4.0,29.7,75.0,90.6,29.65,6.831068
3.0,3.0,29.7,76.0,90.4,29.64,6.760164
2.0,2.0,29.7,75.0,90.2,29.51,6.749611
3.0,3.0,29.7,75.0,91.3,29.43,6.800887
3.0,3.0,29.7,75.0,91.5,29.43,6.881647
4.0,4.0,29.7,75.0,92.3,29.46,6.902267
4.0,4.0,29.8,75.0,92.0,29.44,6.915123
3.0,3.0,29.5,76.0,92.3,29.56,6.845552
2.0,2.0,29.3,76.0,91.9,29.61,6.795946
4.0,4.0,29.3,76.0,91.6,29.56,6.790645
4.0,4.0,29.4,76.0,91.7,29.54,6.862173
4.0,4.0,29.4,76.0,91.4,29.46,7.057423
