PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
9.0,10.0,27.1,95.0,99.4,28.66,9.618525
8.0,9.0,30.5,94.0,99.9,29.84,11.67295
11.0,12.0,28.4,90.0,100.0,29.79,12.14745
7.0,7.0,30.2,86.0,96.3,29.89,9.058143
7.0,8.0,33.1,81.0,93.1,31.31,8.778498
6.0,6.0,33.5,75.0,91.7,31.27,7.783066
6.0,6.0,31.9,75.0,91.2,30.67,7.772667
6.0,6.0,31.0,79.0,96.2,30.02,7.2971
7.0,7.0,29.2,87.0,99.3,28.76,9.09593
7.0,7.0,25.4,88.0,99.7,28.1,9.127656
7.0,7.0,28.2,94.0,99.8,28.8,8.553578
6.0,6.0,28.5,89.0,99.4,28.71,8.347575
5.0,7.0,27.4,88.0,99.8,28.59,6.694585
5.0,5.0,27.4,88.0,98.9,28.65,7.089701
5.0,5.0,27.1,91.0,100.0,28.33,7.185741
4.0,4.0,24.4,93.0,99.9,27.48,8.10478
6.0,7.0,24.5,93.0,99.7,27.49,8.669189
13.0,14.0,27.7,95.0,99.8,29.37,14.27485
10.0,11.0,33.1,88.0,93.5,30.89,12.64026
13.0,14.0,34.4,78.0,90.0,31.5,12.48263
11.0,12.0,34.9,73.0,88.5,31.89,12.85271
9.0,10.0,35.0,70.0,85.9,32.43,11.59298
8.0,9.0,34.5,69.0,84.1,32.58,8.863023
7.0,8.0,33.7,70.0,84.9,32.21,8.757073
6.0,6.0,32.9,70.0,85.9,31.47,7.97945
7.0,7.0,32.7,73.0,91.0,31.02,6.716694
5.0,5.0,30.3,84.0,99.6,29.45,6.677675
18.0,20.0,28.9,90.0,100.0,29.33,18.62299
16.0,18.0,31.6,85.0,96.2,30.46,15.09545
20.0,22.0,31.8,79.0,94.3,30.65,17.90295
15.0,17.0,32.1,76.0,91.7,30.56,17.12889
7.0,8.0,32.1,79.0,99.5,29.92,10.50644
6.0,6.0,28.1,79.0,99.4,28.24,8.93431
31.0,35.0,29.0,95.0,99.5,29.68,20.48086
16.0,19.0,33.7,86.0,93.0,31.35,18.45335
11.0,12.0,34.4,76.0,86.1,31.75,15.09117
18.0,20.0,34.4,73.0,82.9,32.41,17.46241
15.0,17.0,35.0,70.0,82.5,33.2,17.47746
7.0,8.0,35.0,64.0,79.28,32.76,11.25159
6.0,6.0,34.2,65.0,81.2,32.78,9.552835
6.0,6.0,34.2,66.0,82.7,32.05,7.579995
7.0,7.0,33.1,70.0,88.5,30.93,8.162323
9.0,10.0,30.5,82.0,99.7,29.92,9.356929
13.0,14.0,25.5,97.0,99.9,28.31,14.44602
14.0,15.0,28.9,90.0,95.2,30.09,14.0447
